Age,Tenure,NumProducts,SaccoScore,MonthsInactive,BranchVisits,UtilizationRate,Education_Ord,EmploymentStatus_TE,Balance_RobustScaler,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,Churn
32,13,2,19,6,10,0.97,1.0,0.2765167148163434,-0.28735855216553013,1,0,0,1
45,88,1,14,5,9,0.89,3.0,0.2723334021043945,-0.48735978415537856,1,0,1,0
29,151,3,16,11,7,0.71,1.0,0.27391304347826084,0.6682466936472443,0,0,1,0
49,118,2,22,12,8,0.89,2.0,0.2765167148163434,-0.059169392444206256,0,0,1,0
33,108,1,15,7,8,0.64,1.0,0.2723334021043945,0.20970007207140612,0,0,1,0
33,69,3,15,9,11,0.78,2.0,0.265988987717069,-0.24946254442863391,0,1,0,1
41,167,2,11,7,14,0.63,3.0,0.2770060128550695,1.6954059098553027,1,1,0,0
41,68,1,10,10,7,0.95,1.0,0.2641112047177759,-0.3715712182531616,0,0,1,0
49,78,4,18,7,9,0.87,2.0,0.2733843537414966,1.2566327253463432,0,1,0,1
40,143,2,16,9,8,0.66,1.0,0.2723334021043945,0.01186714221474815,0,0,1,0
42,178,1,17,9,12,0.9,2.0,0.2723334021043945,0.19971479435009457,0,1,0,0
30,150,2,19,6,18,0.84,1.0,0.2765167148163434,-0.20291796795594405,0,0,0,0
48,123,4,17,10,10,0.82,2.0,0.2723334021043945,0.79437781432681,0,1,0,0
25,129,1,18,10,11,0.79,1.0,0.2765167148163434,-0.1981501672426219,1,0,1,0
45,160,3,15,4,11,0.95,1.0,0.27391304347826084,1.691414262746475,0,1,0,0
26,134,1,9,11,8,0.98,2.0,0.2770060128550695,-0.5219910187940051,1,1,0,0
45,85,2,13,13,12,0.5,2.0,0.2765167148163434,0.2028070888695877,1,0,1,1
34,157,4,16,9,11,0.96,1.0,0.2641112047177759,2.1388455639125517,0,1,0,0
35,7,3,9,14,8,0.59,3.0,0.2765167148163434,0.24500890112665472,0,1,0,0
54,117,3,15,7,3,0.77,3.0,0.2765167148163434,-0.4825735035943304,0,0,1,0
27,81,3,10,7,10,0.61,2.0,0.2723334021043945,-0.618492783619463,1,1,0,0
45,70,1,12,7,9,0.94,3.0,0.2770060128550695,0.9852007219460511,0,0,1,0
28,128,2,12,6,9,0.9,1.0,0.2733843537414966,-0.5237650841757064,1,0,1,0
35,127,3,15,8,11,0.85,3.0,0.2770060128550695,-0.5533266805881519,1,0,1,0
34,17,2,30,7,8,0.91,3.0,0.2770060128550695,-0.14593227751803325,0,1,0,1
54,79,4,23,8,8,1.0,1.0,0.27474402730375425,-0.48975600441052364,0,1,0,0
48,127,3,17,5,16,0.58,1.0,0.27474402730375425,-0.415263738226797,0,1,0,0
36,17,1,16,5,7,0.5,2.0,0.27812113720642767,2.1388455639125517,0,1,0,0
36,93,2,12,6,7,0.65,2.0,0.2765167148163434,1.174175644792687,1,0,1,0
36,167,1,19,6,9,0.67,3.0,0.2767747230201067,0.5757427358798564,1,0,1,0
21,36,1,11,8,11,0.53,3.0,0.2765167148163434,0.20264693018929525,1,1,0,1
33,12,1,13,7,7,0.65,3.0,0.2765167148163434,-0.377780447089116,1,1,0,1
33,119,2,16,2,15,0.63,3.0,0.2719186785260483,0.37004355084114104,1,1,0,0
26,22,3,11,6,14,0.69,1.0,0.2765167148163434,0.702249613463185,1,0,1,0
34,132,1,20,8,8,0.95,2.0,0.2765167148163434,0.02682965892361047,0,1,0,0
53,147,1,11,10,10,0.96,1.0,0.2723334021043945,-0.4542808567257406,1,0,1,0
31,11,1,20,5,13,0.66,2.0,0.2765167148163434,-0.5790937482675143,1,0,1,0
46,80,1,15,9,8,0.59,3.0,0.2627646326276463,-0.3866569339468643,0,1,0,0
33,54,1,16,12,8,0.98,2.0,0.27621483375959077,-0.25217908204436396,0,1,0,1
38,51,2,16,6,5,0.97,1.0,0.27391304347826084,0.8919329304726529,0,1,0,0
57,93,4,19,8,9,0.5,2.0,0.2719186785260483,-0.3624544933749746,1,0,1,0
38,111,1,19,8,10,0.55,1.0,0.27391304347826084,-0.36606422363079727,1,1,0,0
29,137,2,12,6,14,0.68,1.0,0.2767747230201067,-0.6283918220513863,0,0,1,0
18,59,3,7,6,9,0.93,3.0,0.27621483375959077,-0.34370360788227106,1,0,1,0
30,127,1,14,7,18,0.78,3.0,0.2765167148163434,2.1388455639125517,0,1,0,0
45,39,2,12,3,11,0.68,1.0,0.2767747230201067,-0.570235741257492,0,0,1,0
30,167,2,19,10,6,0.57,1.0,0.27391304347826084,0.05105057934322621,0,1,0,0
43,132,3,14,5,11,0.73,2.0,0.2765167148163434,2.1388455639125517,0,1,0,0
33,58,3,16,3,13,0.96,3.0,0.27474402730375425,0.13390189664837163,1,1,0,0
21,88,2,18,7,8,0.73,3.0,0.2641112047177759,1.2237139565969977,0,0,1,0
18,46,1,18,9,7,0.98,3.0,0.27812113720642767,-0.30753854588238194,1,1,0,0
25,17,4,19,8,9,0.85,2.0,0.2723334021043945,-0.46075496337910177,0,1,0,1
35,127,1,10,10,11,0.64,2.0,0.26641414141414144,0.050305225484942005,1,0,0,0
30,7,3,5,8,8,0.61,2.0,0.2767747230201067,-0.16545315666598906,1,0,0,1
27,61,1,12,11,7,0.75,2.0,0.2767747230201067,-0.4210417706158101,1,0,0,1
36,43,1,17,6,9,0.97,1.0,0.2733843537414966,1.2298800657882578,1,1,0,0
24,25,1,15,16,6,0.98,1.0,0.2765167148163434,0.6586125330327278,1,1,0,1
45,55,1,13,9,6,0.81,1.0,0.2723334021043945,-0.2422307640185045,0,1,0,0
29,73,3,12,6,13,0.82,1.0,0.2767747230201067,-0.4416529607796032,1,1,0,0
33,156,1,9,9,8,0.58,3.0,0.2719186785260483,2.1388455639125517,0,1,0,0
26,122,1,12,7,19,0.68,2.0,0.27391304347826084,0.12150191882418888,0,0,1,0
31,115,3,16,5,10,0.86,2.0,0.2767747230201067,0.38066946328362256,0,1,0,0
18,124,1,9,10,8,0.7,2.0,0.2770060128550695,-0.0649905444779135,0,0,1,0
39,159,1,7,6,12,0.91,2.0,0.27474402730375425,-0.21814536248221314,0,1,0,0
40,22,1,16,5,8,0.64,2.0,0.2767747230201067,-0.000927072360923746,0,1,0,1
45,95,2,14,6,5,0.54,1.0,0.2719186785260483,0.05899691386542975,1,1,0,0
27,140,3,15,16,13,0.77,1.0,0.2723334021043945,0.15751914204226958,0,1,0,1
28,101,3,19,12,9,0.96,1.0,0.2767747230201067,-0.3246447249274666,0,0,1,0
22,48,3,12,4,9,0.7,2.0,0.265988987717069,-0.48527772131157637,1,1,0,1
44,95,3,14,11,8,0.53,2.0,0.27391304347826084,0.3015695550668662,1,0,1,1
30,169,2,11,6,10,0.78,2.0,0.2765167148163434,0.8503409531905457,1,0,1,0
27,25,2,16,9,14,0.93,1.0,0.2723334021043945,2.1388455639125517,1,0,1,1
35,164,1,17,7,11,0.54,3.0,0.2641112047177759,-0.07888738996790666,1,0,1,0
33,143,4,15,6,10,0.89,3.0,0.27621483375959077,1.4167914056388176,1,1,0,0
55,62,1,16,4,10,0.88,1.0,0.2767747230201067,0.9382311089756621,0,0,0,0
28,56,4,9,5,12,0.63,3.0,0.27391304347826084,2.1388455639125517,0,0,1,1
46,13,1,11,11,16,0.75,3.0,0.2770060128550695,0.5636261157208065,1,1,0,0
41,92,1,8,15,7,0.61,2.0,0.27391304347826084,-0.45798298622019357,1,1,0,0
53,19,1,13,6,13,0.51,3.0,0.2770060128550695,2.1388455639125517,0,1,0,0
36,147,2,17,4,6,0.97,3.0,0.27391304347826084,2.1388455639125517,0,0,1,0
35,6,3,12,6,8,0.59,2.0,0.2767747230201067,-0.45104072342443896,1,0,1,1
29,147,1,13,5,8,0.74,1.0,0.2765167148163434,0.10570164901841209,0,1,0,0
23,38,1,14,8,3,0.99,2.0,0.265988987717069,-0.39234872704648915,0,1,0,0
32,3,1,9,9,7,0.52,2.0,0.27391304347826084,0.9812275546849494,0,0,1,1
29,97,1,13,7,8,0.55,2.0,0.2767747230201067,0.19380740302699906,1,1,0,0
30,155,1,12,9,10,0.86,2.0,0.2733843537414966,0.9222090809971726,1,1,0,1
39,36,3,16,8,11,0.98,2.0,0.2733843537414966,-0.16180646671471427,0,1,0,1
31,58,3,14,11,16,0.76,2.0,0.265988987717069,-0.5860052113170587,1,1,0,0
33,146,2,14,4,5,0.67,2.0,0.2765167148163434,0.3591219608350427,0,0,1,0
37,136,1,11,8,12,0.62,1.0,0.2770060128550695,-0.6074911142732183,1,0,1,0
34,22,2,17,13,8,0.93,2.0,0.2723334021043945,0.08077233443596425,0,1,0,0
37,76,3,15,5,10,0.76,1.0,0.2767747230201067,-0.05642205508226612,1,0,0,0
30,124,1,19,13,11,0.57,2.0,0.2767747230201067,-0.1223458318703454,0,1,0,0
45,121,1,20,4,13,0.95,3.0,0.2765167148163434,0.3375190188432847,0,1,0,0
32,20,3,13,6,6,0.79,1.0,0.2767747230201067,0.9299459772451475,0,0,0,1
30,163,2,12,8,8,0.66,1.0,0.2765167148163434,-0.3370693425486174,0,0,1,0
44,77,2,12,8,7,0.94,1.0,0.27621483375959077,1.5967420028458965,0,0,1,0
47,90,2,10,12,9,0.67,2.0,0.2723334021043945,0.3559372670769193,0,0,0,0
31,173,1,21,8,9,0.6,2.0,0.2655860349127182,-0.32313553736317213,1,1,0,0
34,83,2,12,7,13,0.53,1.0,0.2765167148163434,0.7697318574094949,1,1,0,0
36,71,4,15,9,9,0.64,1.0,0.27391304347826084,-0.1768367428652388,1,1,0,1
52,38,3,14,7,10,0.75,3.0,0.2767747230201067,1.0734666346349306,1,0,1,1
44,7,3,16,4,8,0.7,1.0,0.27474402730375425,0.7414022508454531,1,0,1,1
40,74,3,14,10,12,0.99,1.0,0.2719186785260483,0.24191044665791953,0,0,1,1
18,2,2,10,5,13,0.81,2.0,0.2770060128550695,-0.016228386278097067,1,0,1,0
42,56,1,21,7,10,0.5,2.0,0.26641414141414144,0.7000135518883325,1,1,0,0
36,52,4,18,0,14,0.52,1.0,0.265988987717069,0.723131841393627,1,0,1,0
43,50,2,19,5,16,0.59,2.0,0.27391304347826084,-0.009298443380826542,0,0,0,0
42,141,4,12,8,8,0.61,2.0,0.2767747230201067,-0.19333924688460566,0,1,0,0
27,2,4,15,14,8,0.6,2.0,0.2641112047177759,1.8349657198824683,0,0,1,1
32,54,1,9,4,12,1.0,1.0,0.2719186785260483,-0.6135278645303963,1,0,0,1
18,60,1,13,5,6,0.83,2.0,0.265988987717069,2.1388455639125517,0,0,1,0
33,169,2,12,9,12,0.54,2.0,0.2723334021043945,1.2189091961882235,0,1,0,0
18,43,3,22,12,9,0.58,1.0,0.2719186785260483,0.31797965984760285,1,0,1,0
36,15,2,13,13,9,0.74,2.0,0.27391304347826084,0.12074424506742064,0,0,1,0
37,29,1,14,4,12,0.86,1.0,0.27391304347826084,0.7247827077904878,0,0,1,0
29,135,4,20,4,11,0.81,3.0,0.265988987717069,0.09133048743678351,0,1,0,0
35,112,1,21,5,8,0.63,1.0,0.2655860349127182,-0.1879800910440498,1,0,1,0
19,23,1,17,6,7,0.53,3.0,0.2733843537414966,0.3061833570491379,0,1,0,0
39,94,2,20,9,7,0.61,3.0,0.2723334021043945,-0.052818484775685445,0,0,1,0
54,122,2,17,6,15,0.54,2.0,0.27812113720642767,-0.004290404647065709,0,0,1,0
41,70,1,12,13,8,0.79,2.0,0.2765167148163434,0.8094204103758185,0,1,0,0
34,50,2,16,6,15,0.79,2.0,0.2723334021043945,0.2472326428030233,1,1,0,0
32,62,3,14,3,16,0.71,1.0,0.2770060128550695,-0.55872279612416,0,0,1,0
40,114,4,20,5,11,0.51,1.0,0.265988987717069,0.5221203777280875,1,0,1,0
43,173,1,11,7,10,0.78,2.0,0.2627646326276463,-0.35223513758246633,0,1,0,1
34,79,2,14,4,10,0.69,1.0,0.27391304347826084,1.1088678629288096,0,0,1,0
35,94,2,9,4,12,0.99,1.0,0.27391304347826084,0.17243853910643775,1,1,0,0
38,60,2,14,12,10,0.71,1.0,0.2733843537414966,0.0010256315487960378,1,1,0,0
35,123,2,18,9,14,0.63,1.0,0.26641414141414144,-0.3228644995965233,1,1,0,0
43,49,2,20,10,12,0.61,3.0,0.27391304347826084,-0.3665015800269806,0,0,1,0
31,96,1,17,7,10,0.95,3.0,0.2770060128550695,-0.6089879819390288,1,0,1,0
26,154,1,17,2,13,0.91,2.0,0.2723334021043945,0.10644084292745427,0,1,0,0
28,156,1,12,5,12,0.52,1.0,0.27391304347826084,1.3524815355521471,0,1,0,0
38,60,1,13,6,5,0.53,1.0,0.2767747230201067,-0.11250839293084225,0,1,0,1
29,42,1,12,11,14,0.96,2.0,0.265988987717069,0.5175989749844462,0,1,0,0
36,96,2,11,5,8,0.6,2.0,0.2770060128550695,-0.1415956732516524,0,1,0,1
43,17,2,22,2,4,0.51,2.0,0.27474402730375425,-0.4233394316830829,0,0,1,1
40,81,1,7,5,9,0.61,3.0,0.2733843537414966,0.505716432896593,1,1,0,0
21,140,1,17,9,13,0.73,2.0,0.2723334021043945,0.33182106579441784,0,1,0,0
44,180,3,13,5,8,0.52,1.0,0.2641112047177759,-0.6290139769248302,1,0,1,0
25,14,2,13,10,5,0.94,2.0,0.27391304347826084,0.9828845810310523,1,1,0,1
23,75,3,8,10,8,0.8,3.0,0.2627646326276463,-0.6270058334719322,1,1,0,0
35,65,2,12,8,11,0.85,1.0,0.2770060128550695,-0.5068621834556083,0,1,0,0
40,116,3,16,4,12,0.99,3.0,0.27474402730375425,-0.34680206235100625,1,1,0,0
32,99,2,19,4,10,0.61,1.0,0.27391304347826084,-0.3180782190354752,1,0,1,1
34,115,1,19,5,11,0.72,3.0,0.27391304347826084,-0.3823388095282095,1,0,1,0
41,167,2,19,9,10,0.81,3.0,0.27474402730375425,0.09848834845600872,0,1,0,0
42,10,4,14,9,8,0.57,3.0,0.27474402730375425,2.1388455639125517,1,0,1,0
50,161,4,18,10,12,0.78,1.0,0.2733843537414966,0.46690259272263596,1,1,0,0
63,98,1,9,9,10,0.93,3.0,0.27391304347826084,1.462510548913077,1,0,1,0
34,114,4,15,6,8,0.98,1.0,0.2719186785260483,-0.548922316880109,0,1,0,0
48,130,4,13,4,5,0.96,2.0,0.2767747230201067,-0.48216078699511516,1,0,1,0
42,19,4,16,4,6,0.79,2.0,0.2770060128550695,-0.31724662588780267,1,0,0,0
36,157,4,9,7,5,0.81,3.0,0.27391304347826084,0.7630421525326632,0,0,1,1
34,39,3,16,12,11,0.88,2.0,0.2719186785260483,-0.5686895939977454,1,0,1,0
25,61,3,17,3,11,0.56,1.0,0.27474402730375425,0.5787487911099612,1,1,0,0
45,66,1,12,11,10,0.57,3.0,0.27474402730375425,0.40606077405922175,1,1,0,0
45,85,3,21,7,10,0.62,2.0,0.2767747230201067,-0.2547231410813175,1,0,0,0
30,101,3,15,8,8,0.91,3.0,0.27474402730375425,-0.20087286480759398,0,0,1,0
35,139,2,18,8,14,0.78,3.0,0.2767747230201067,-0.5347051540295308,1,0,1,0
46,157,2,14,9,6,0.8,2.0,0.2770060128550695,-0.2067494563844794,1,1,0,1
52,129,3,15,7,13,0.69,1.0,0.27391304347826084,-0.25312771422763475,1,0,0,0
29,80,2,11,8,8,0.73,2.0,0.27391304347826084,0.4219719229513549,1,0,1,0
34,15,2,13,10,11,0.69,1.0,0.2765167148163434,-0.2015196594780059,0,0,1,0
52,84,2,14,5,10,0.76,3.0,0.27391304347826084,1.9113552504327365,0,0,1,0
31,107,3,11,8,13,0.91,1.0,0.2770060128550695,-0.5508195812466505,0,0,1,0
25,88,2,10,13,5,0.76,3.0,0.2767747230201067,-0.5412408601753121,0,0,1,0
38,40,1,20,6,11,0.83,2.0,0.26641414141414144,-0.5422449319017612,1,1,0,1
59,142,1,19,9,16,0.93,1.0,0.2723334021043945,0.5119318216817893,0,0,1,0
27,164,2,12,10,8,0.89,1.0,0.27391304347826084,0.30642975501881864,1,1,0,1
30,78,1,15,6,13,0.88,1.0,0.2719186785260483,-0.44155440159173087,0,1,0,0
34,162,1,13,10,5,0.59,2.0,0.2770060128550695,-0.6173039134157534,0,0,0,1
